Car_ID,Brand,Model,Year,Fuel_Type,Engine_Size,Mileage,Price
91,Volkswagen,Passat,2019,Gasoline,1.9,93933,19400
92,Mercedes,E-Class,2019,Gasoline,3.3,74274,36200
93,BMW,3 Series,2021,Diesel,2.9,45502,47200
94,Hyundai,Santa Fe,2016,Diesel,2.1,142267,14100
95,Mercedes,S-Class,2016,Gasoline,3.1,152359,24400
96,Honda,Civic,2017,Diesel,2.2,105505,20100
97,Hyundai,Santa Fe,2019,Diesel,1.9,84349,19900
98,Nissan,Rogue,2024,Gasoline,1.5,37501,34000
99,Volkswagen,Golf,2017,Diesel,1.8,133198,16500
100,Nissan,Leaf,2016,Diesel,1.8,110820,13300
101,BMW,X5,2021,Diesel,3.4,74980,38800
102,Ford,Focus,2020,Diesel,1.5,93083,20200
103,Audi,E-tron,2021,Diesel,2.1,70114,39400
104,Mercedes,GLE,2023,Diesel,2.3,36521,50500
105,Volkswagen,Jetta,2017,Gasoline,1.6,109554,15900
106,Honda,Fit,2016,Gasoline,2.0,122756,13600
107,Audi,Q5,2021,Hybrid,3.7,59171,43200
108,Mercedes,E-Class,2016,Diesel,2.6,112243,31400
109,Hyundai,Elantra,2019,Diesel,2.1,104055,22000
110,Ford,Escape,2020,Diesel,1.9,96302,21400
111,Mercedes,S-Class,2018,Diesel,3.7,74544,37900
112,Nissan,Leaf,2017,Gasoline,1.8,89861,20800
113,Kia,Optima,2022,Hybrid,1.3,57586,32100
114,BMW,3 Series,2022,Diesel,3.6,59172,44300
115,Audi,E-tron,2020,Electric,0.0,86934,40900
116,Honda,Accord,2019,Gasoline,2.5,80070,25200
117,Honda,Fit,2017,Gasoline,2.1,83419,17100
118,Hyundai,Tucson,2020,Diesel,1.8,80260,22900
119,BMW,5 Series,2016,Diesel,3.2,127351,29800
120,Volkswagen,Jetta,2018,Diesel,1.8,97197,16900
121,Ford,Escape,2023,Diesel,1.4,49190,34300
122,Nissan,Rogue,2022,Diesel,2.3,58766,28600
123,Nissan,Rogue,2024,Hybrid,1.6,37083,35000
124,Hyundai,Elantra,2024,Hybrid,2.3,36852,35900
125,Hyundai,Sonata,2024,Gasoline,2.2,32244,38200
126,BMW,3 Series,2015,Diesel,2.6,95557,33400
127,BMW,3 Series,2019,Diesel,2.7,67688,40600
128,Kia,Sorento,2017,Diesel,1.5,137362,14000
129,Honda,Fit,2016,Gasoline,1.4,148141,14200
130,Nissan,Rogue,2016,Gasoline,2.2,101524,17100
131,Kia,Sorento,2024,Electric,0.0,21431,37200
132,Toyota,RAV4,2024,Diesel,1.5,33206,37500
133,Nissan,Altima,2017,Gasoline,1.3,97209,16200
134,Honda,Accord,2023,Diesel,1.4,44286,30800
135,Nissan,Altima,2022,Electric,0.0,37951,30500
136,Ford,Explorer,2018,Gasoline,2.3,123940,18600
137,Kia,Optima,2021,Electric,0.0,46945,31600
138,Volkswagen,Golf,2015,Gasoline,2.2,172585,9400
139,Mercedes,C-Class,2023,Gasoline,2.4,34107,50500
140,Toyota,RAV4,2017,Diesel,2.5,125206,17900
141,Toyota,Corolla,2015,Gasoline,1.7,135470,9900
142,Hyundai,Elantra,2017,Gasoline,2.2,124877,16200
143,Kia,Optima,2022,Hybrid,1.9,61806,31700
144,Audi,Q5,2022,Diesel,3.3,61216,47000
145,Honda,Fit,2022,Gasoline,1.3,38091,33800
146,Volkswagen,Tiguan,2021,Diesel,2.5,63218,25500
147,Honda,Accord,2021,Diesel,1.8,74225,27000
148,Honda,CR-V,2021,Gasoline,1.6,69923,24600
149,Honda,Civic,2016,Diesel,1.8,143380,9700
150,Volkswagen,Tiguan,2016,Diesel,1.7,148672,9100
